Incubation	Treatment	Replicate	Day	Cl_mM	SO_mM	Al.uM	As.uM	Ba.uM	Ca.mM	Cu.uM	Fe.uM	K.mM	Li.uM	Mg.mM	Mn.uM	Mo.uM	P.uM	Si.uM	Sr.uM	Fe.fer.uM	Sulfide_uM	Sulfur.mmol.g.wet.sediment
4B	Bir.HS	B	6	1044.508	1.662	11.187	0.352	3.553	4.708	0	5.148	10.109	3.091	51.843	56.518	0.066	18.92	295.801	15.312	NA	56.225	NA
4B	Bir.HS	B	10	1050.506	1.728	11.187	0.275	3.883	4.752	0	6.017	10.417	2.849	53.328	55.836	0.033	22.22	341.737	15.939	6.1	49.8	NA
4B	Bir.HS	B	14	NA	NA	1.881	0.066	3.861	4.686	0	1.056	9.9	2.42	52.272	58.047	0	22.781	332.838	15.653	NA	176.373	NA
4B	Bir.HS	B	20	1054.732	1.316	6.237	0.022	4.18	5.016	0	3.289	10.197	2.387	55.759	58.652	0	26.07	395.901	17.05	0.835	172.19	NA
4C	Bir.HS	C	0	1034.202	1.612	9.339	0.308	3.058	5.808	0	5.192	10.395	3.641	54.076	123.794	0.055	9.933	253.451	16.049	2.455	62.15	NA
4C	Bir.HS	C	2	NA	NA	70.444	0.792	3.3	5.027	0	26.664	10.164	3.575	53.471	62.491	0.121	17.523	366.784	15.587	NA	66.55	NA
4C	Bir.HS	C	6	1047.634	1.654	13.068	0.253	3.608	4.785	0	6.182	10.142	3.168	53.053	55.803	0.088	19.393	305.327	15.664	NA	60.955	NA
4C	Bir.HS	C	10	1047.666	1.714	1.353	0.209	3.718	4.598	0	1.573	10.065	2.739	51.931	50.985	0.011	21.626	313.247	15.345	4.48	96.1	NA
4C	Bir.HS	C	14	NA	NA	2.739	0.099	3.916	4.653	0	1.375	10.175	2.563	52.041	57.871	0	23.364	342.243	15.763	NA	196.647	NA
4C	Bir.HS	C	20	1025.808	1.268	4.675	0.088	3.795	4.543	0	2.596	10.142	2.376	51.051	51.645	0	24.013	359.282	15.499	1.24	205.98	NA
5A	Bir.S	A	0	939.516	1.466	9.867	0.231	0.11	10.021	0	4.708	10.098	3.894	52.063	32.978	0.121	31.768	247.753	16.181	0.43	7.57	249.5151697
5A	Bir.S	A	2	NA	NA	51.843	0.11	0.187	8.866	0	20.416	10.197	4.477	51.909	210.089	0.121	15.444	292.193	16.247	NA	6.21	NA
5A	Bir.S	A	6	1051.654	1.698	17.182	0.198	0.825	7.612	0	7.876	10.549	4.851	53.834	325.16	0.121	7.898	258.093	17.523	NA	36.288	NA
5A	Bir.S	A	10	1039.064	1.788	6.798	0.121	3.113	6.666	0	3.113	10.406	4.829	51.964	298.023	0.121	5.984	247.709	17.336	4.48	10.61	NA
5A	Bir.S	A	14	NA	NA	2.904	0.099	5.555	6.842	0	1.386	10.582	4.972	56.584	325.974	0.154	5.544	260.59	19.206	NA	9.256	NA
5A	Bir.S	A	20	1067.574	1.746	20.845	0.451	5.929	6.215	0	18.161	10.307	4.895	52.019	267.586	0.11	13.332	286.363	17.809	3.265	4.53	140.161167
5B	Bir.S	B	0	946.096	1.47	9.933	0.033	0.143	10.175	0	4.752	10.175	3.894	53.394	32.483	0.121	33.759	251.152	16.61	0.43	9.93	NA
5B	Bir.S	B	2	NA	NA	58.564	0.066	0.209	9.537	0.132	25.19	10.197	4.444	55.583	225.995	0.143	17.743	322.817	17.523	NA	16.01	NA
5B	Bir.S	B	6	1043.814	1.67	4.301	0.11	1.001	7.678	0	1.859	10.384	4.719	54.153	326.381	0.143	7.821	236.94	17.633	NA	20.069	NA
5B	Bir.S	B	10	1019.108	1.754	1.43	0.121	3.564	6.611	0	0.55	10.384	4.774	51.513	301.081	0.121	6.116	233.706	17.303	3.67	10.27	NA
5B	Bir.S	B	14	NA	NA	2.068	0.143	5.929	6.919	0	1.056	10.428	4.796	56.056	318.846	0.132	5.533	258.544	19.096	NA	10.608	NA
5B	Bir.S	B	20	1042.668	1.678	5.709	0.319	6.237	6.589	0	10.901	10.285	4.774	54.428	272.492	0.132	15.763	272.624	18.678	2.86	9.26	NA
